owner_phone,transaction_id,datetime,date,time,amount,currency,type,target_party,description,category,is_financial,medium
mill-chat,ced54d44-7ec0-492e-869c-fb8daffd2b3a,2025-07-20T07:51:58,2025-07-20,07:51:58,838.69,Rs,debit,spotify.india@okhdfc,Entertainment,Entertainment,true,
mill-chat,b9efc22a-9df4-4051-ae70-b2e47c971ab3,2025-03-13T23:01:29,2025-03-13,23:01:29,4986.18,Rs.,credit,amazon.refunds@paytm,Refund,Refund,true,
+919619183585,2925937395645,2024-07-11T08:44:52,2024-07-11,08:44:52,1855.76,Rs.,debit,netmeds@kotak,"Ref:2925937395645, to netmeds@kotak, AvlBal:Rs5434.10",Financial - High Confidence,true,
+919619183585,2150160121261,2024-09-05T17:16:57,2024-09-05,17:16:57,1943.71,INR,debit,apollo.pharma@axis,"Ref:2150160121261, to apollo.pharma@axis, AvlBal:Rs12598.12",Financial - High Confidence,true,UPI
+919619183585,4085437207972,2025-01-26T14:26:32,2025-01-26,14:26:32,2397.85,Rs.,credit,some.friend35@okhdfc,"Ref:4085437207972, AvlBal:Rs1327.27",Financial - High Confidence,true,UPI
+919619183585,4869241542647,2025-08-25T11:58:09,2025-08-25,11:58:09,2313.85,INR,debit,bigbasket@icici,"Ref:4869241542647, to bigbasket@icici, AvlBal:Rs10767.57",Financial - High Confidence,true,
+919619183585,5220064303449,2024-12-21T13:56:16,2024-12-21,13:56:16,3303.32,INR,debit,ola.cabs@icici,"Ref:5220064303449, to ola.cabs@icici, AvlBal:Rs5168.99",Financial - High Confidence,true,UPI
+919619183585,1875018817854,2024-05-20T04:56:43,2024-05-20,04:56:43,3804.87,INR,credit,gpay.rewards@okhdfc,"Ref:1875018817854, AvlBal:Rs12041.65",Financial - High Confidence,true,UPI
+919619183585,5941509752614,2024-04-13T17:36:20,2024-04-13,17:36:20,1782.05,INR,debit,vi.recharge@kotak,"Ref:5941509752614, to vi.recharge@kotak, AvlBal:Rs13861.45",Financial - High Confidence,true,UPI
+919619183585,1279057977152,2025-05-14T21:22:55,2025-05-14,21:22:55,1360.64,INR,debit,netmeds@kotak,"Ref:1279057977152, to netmeds@kotak, AvlBal:Rs1674.43",Financial - High Confidence,true,UPI
